x,y
-0.056935127809367714,1983.3767323920702
-0.056935127809367714,1981.0843694554128
-0.056935127809367714,1991.0207372006969
-0.056935127809367714,1992.678898809731
-0.056935127809367714,1987.9076205150243
-0.056935127809367714,1967.0440177902613
-0.056935127809367714,1996.2417115576532
-0.056935127809367714,1975.4250360002834
-0.056935127809367714,1994.5825038920284
-0.056935127809367714,1979.5076518063522
-0.056935127809367714,1989.4961475548096
-0.056935127809367714,1984.3709749619677
-0.056935127809367714,1966.914885013754
-0.056935127809367714,1990.5029502114048
-0.056935127809367714,1993.65203426666
-0.056935127809367714,1978.8588175898967
-0.056935127809367714,1982.4733367215329
-0.056935127809367714,1979.9290159488608
-0.056935127809367714,1979.8238913912019
-0.056935127809367714,1986.1662190774698
-0.056935127809367714,1986.6786126422537
-0.056935127809367714,1995.6005729140302
-0.056935127809367714,1973.3854465738148
-0.056935127809367714,1974.8329443500309
-0.056935127809367714,1995.735444892945
-0.056935127809367714,1991.3821890435452
-0.056935127809367714,1984.3130889107333
-0.056935127809367714,1983.6626355280687
-0.056935127809367714,1980.069084724522
-0.056935127809367714,1974.7534117068778
-0.056935127809367714,1991.6713044273981
-0.056935127809367714,1990.0222718031
-0.056935127809367714,1986.755051921889
-0.056935127809367714,1997.9378616650408
-0.056935127809367714,1981.945545023688
-0.056935127809367714,1990.7618870502497
-0.056935127809367714,1987.0125907843171
-0.056935127809367714,1990.8473569427167
-0.056935127809367714,1989.3212468182933
-0.056935127809367714,1993.2949396075755
-0.056935127809367714,1988.2029217080399
-0.056935127809367714,1983.3537028074884
-0.056935127809367714,1996.2687470342767
-0.056935127809367714,1990.775142356227
-0.056935127809367714,1989.2623395353964
-0.056935127809367714,1988.2726989525743
-0.056935127809367714,1981.3364770016321
-0.056935127809367714,1983.7598568293745
-0.056935127809367714,1997.0960205235788
-0.056935127809367714,1985.1681558554085
-0.056935127809367714,1979.5229654540733
-0.056935127809367714,1966.8768462575626
-0.056935127809367714,1988.2746219993544
-0.056935127809367714,1986.170802039622
-0.056935127809367714,1987.954059366015
-0.056935127809367714,1993.2647554927128
-0.056935127809367714,1988.5702637788243
-0.056935127809367714,1995.5502621455205
-0.056935127809367714,1993.0281627050545
-0.056935127809367714,1992.3243607236514
-0.056935127809367714,1953.0404231182258
-0.056935127809367714,1973.9432729186078
-0.056935127809367714,1995.053867318239
-0.056935127809367714,1990.4465564804773
-0.056935127809367714,1984.9706609616424
-0.056935127809367714,1978.4786070491282
-0.056935127809367714,1983.000420396267
-0.056935127809367714,1984.5099380886961
-0.056935127809367714,1971.5793586438494
-0.056935127809367714,1990.3115529233235
-0.056935127809367714,1988.1826237556377
-0.056935127809367714,1964.91421477416
-0.056935127809367714,1963.355989014993
-0.056935127809367714,1992.0287788560436
-0.056935127809367714,1985.4252692203358
-0.056935127809367714,1989.1046741122507
-0.056935127809367714,1994.668336374721
-0.056935127809367714,1983.2427137399739
-0.056935127809367714,1989.8450552353506
-0.056935127809367714,1985.844111040175
-0.056935127809367714,1987.4325678065613
-0.056935127809367714,1991.917869282116
-0.056935127809367714,1992.4969541230032
-0.056935127809367714,1991.2779086579887
